x,Curve1
"-0,173","10,436"
"0,969","2,547"
"2,076","3,987"
"4,779","5,398"
"6,02","8,47"
"7,142","2,523"
"8,149","-13,925"
"10,398","-21,804"
"12,989","-16,817"
"13,871","-25,909"
"15,013","-23,98"
"16,689","-18,552"
"17,378","-22,566"
"17,892","-27,354"
"18,919","-27,929"
"19,629","-25,44"
"20,975","-26,525"
"21,539","-34,746"
"22,997","-49,768"
"24,681","-64,076"
"26,816","-75,528"
"28,014","-80,472"
"29,068","-74,114"
"31,769","-77,706"
"33,377","-78,523"
"34,357","-82,728"
"34,849","-85,625"
"36,384","-80,597"
"39,198","-82,76"
"40,972","-81,411"
"41,674","-84,922"
