x,Curve1
"-0,298","26,103"
"0,728","9,668"
"1,76","16,466"
"2,526","13,255"
"2,882","10,233"
"3,769","19,033"
"4,661","18,988"
"5,77","31,529"
"6,344","27,578"
"6,938","23,026"
"8,713","20,445"
"9,627","3,295"
"9,908","-5,039"
"11,091","1,875"
"11,728","11,144"
"12,666","4,746"
"13,354","-12,406"
"13,948","-29,692"
"14,378","-27,411"
"15,718","-12,39"
"16,719","4,058"
"17,627","-5,228"
"17,866","-11,793"
"19,426","-1,642"
"19,866","2,405"
"20,894","2,128"
"21,23","-5,204"
"22,031","-22,355"
"22,975","-31,616"
"23,84","-33,065"
"24,641","-50,216"
"24,873","-61,109"
"26,003","-65,219"
"27,031","-78,965"
"27,59","-79,505"
"29,269","-66,626"
"31,864","-73,042"
"34,011","-83,75"
"34,949","-90,828"
"35,699","-83,024"
"38,175","-81,577"
"38,965","-84,274"
"40,766","-83,704"
"41,918","-89,358"
